Bio ID,First,Middle,Last,District: Address,District: Phone,District: Fax,Initial 
A000022,Gary,L.,Ackerman,"218-14 Northern Boulevard Bayside, New York 11361",(718) 423-2154, (718) 423-5053 
A000368,	 Kelly,,Ayotte	 ,"14 Manchester Square, Suite 140 Portsmouth, New Hampshire 03801",(603) 436-7161
A000368,	 Kelly,,Ayotte	 ,"144 Main Street Nashua, New Hampshire 03060",(603) 880-3335
B001234,Joe,,Baca,"201 North ""E"" Street, Suite 102 San Bernardino, California 92401",(909) 885-2222,(909) 888-5959 
B001256,Michele,,Bachmann,"6043 Hudson Road, Suite 330 Woodbury, Minnesota 55125",(651) 731-5400,(651) 731-6650 ,ED
B001256,Michele,,Bachmann,"110 2nd Street South, Suite 232 Waite Park, Minnesota 56387",(320) 253-5931,(320) 240-6905 
B000013,Spencer,,Bachus,"1900 International Park Drive, #107 Birmingham, Alabama 35243",(205) 969-2296,(205) 969-3958 
B000013,Spencer,,Bachus,"703 Second Avenue North, PO Box 502 Clanton, Alabama 35046",(205) 280-0704,(205) 280-3060 
B001230,Tammy,,Baldwin,"10 East Doty Street, Suite 405 Madison, Wisconsin 53703",(608) 258-9800,(608) 258-9808 
B001230,Tammy,,Baldwin,"1 South Church Street, Suite 100 Hazleton, Pennsylvania 18702",(608) 362-2800,(608) 362-2838 
B001269,Lou,,Barletta,"1 South Church Street, Suite 100 Hazleton, Pennsylvania 18702",(570) 751-0050,(570) 751-0054 
B001261,	 John,,Barrasso,"100 East B Street, Suite 2201 Casper, Wyoming 82601",(307) 261-6413,(307) 265-6706 
B001261,	 John,,Barrasso,"2120 Capitol Avenue, Suite 2013 Cheyenne, Wyoming 82001",(307) 772-2451,(307) 638-3512 
B001261,	 John,,Barrasso,"1575 Dewar Drive, Suite 218 Rock Springs, Wyoming 82901",(307) 362-5012,(307) 362-5129 
B001261,	 John,,Barrasso,"324 East Washington Avenue Riverton, Wyoming 82501",(307) 856-6642,(307) 856-5901 
B001261,	 John,,Barrasso,"2 North Main, Suite 206 Sheridan, Wyoming 82801",(307) 672-6456,(307) 672-8227 
B001252,John,,Barrow,"450 Mall Boulevard, Suite A Savannah, Georgia 31406",(912) 354-7282,(912) 354-7782 
B001252,John,,Barrow,"925 Laney Walker Boulevard, Suite 300 Augusta, Georgia 30901",(706) 722-4494,(706) 722-4496 
B001252,John,,Barrow,"141 West Haynes Street, City Hall Sandersville, Georgia 31082",(478) 553-1923,(478) 553-9215 
B001252,John,,Barrow,"107 Old Airport Road, Suite A Vidalia, Georgia 30474",(912) 537-9301,(912) 537-9266 
B001252,John,,Barrow,"127 East Hancock Street Milledgeville, Georgia 31061",(478) 452-4611,(478) 451-0717 
B000208,Roscoe,G.,Bartlett,"7360 Guildford Drive, Suite 101 Frederick, Maryland 21704",(301) 694-3030,(301) 694-6674 
B000208,Roscoe,G.,Bartlett,"15 East Main Street, Suite 110 Westminster, Maryland 21157",(410) 857-1115,(410) 857-3648 
B000208,Roscoe,G.,Bartlett,"1 Frederick Street, Suite 2 Cumberland, Maryland 21502",(301) 724-3105,(301) 724-3538 
B000208,Roscoe,G.,Bartlett,"11377 Robinwood Drive, Suite F Hagerstown, Maryland 21742",(301) 797-6043,(301) 797-2385 
B000213,Joe,,Barton,"6001 West Ronald Reagan Memorial Highway, Ste. 200 Arlington, Texas 76017",(817) 543-1000,(817) 548-7029 
B000213,Joe,,Barton,"2106-A West Ennis Avenue Ennis, Texas 75119",(972) 875-8488,(936) 544-1739 
B000213,Joe,,Barton,"303 North 6th Street Crockett, Texas 75835",(936) 544-8488,(972) 875-1907 
B000220,Charles,F.,Bass,"114 North Main Street, Suite 200 Concord, New Hampshire 03301",(603) 226-0064,(603) 223-9819 
B000220,Charles,F.,Bass,"32 Main Street, Suite 110 Littleton, New Hampshire 03561",(603) 444-5505
B000220,Charles,F.,Bass,"221 Main Street, Suite 201 Nashua, New Hampshire 03060",(603) 595-7701
B001270,Karen,,Bass,"4322 Wilshire Boulevard, Suite 302 Los Angeles, California 90010",(323) 965-1422,(323) 965-1113 
B000243,	 Max,,Baucus	 ,"222 North 32nd Street, Suite 100 Billings, Montana 59101",(406) 657-6790,(406) 657-6793 ,ED
B000243,	 Max,,Baucus	 ,"30 West 14th Street, Suite 206 Helena, Montana 59601",(406) 449-5480,(406) 449-5484 
B000243,	 Max,,Baucus	 ,"280 East Front Street, Suite 100 Missoula, Montana 59802",(406) 329-3123,(406) 728-7610 
B000243,	 Max,,Baucus	 ,"8 Third Street East Kalispell, Montana 59901",(406) 756-1150,(406) 756-1150
B000243,	 Max,,Baucus	 ,"220 West Lamme Street, Suite 1D Bozeman, Montana 59715",(406) 586-6104,(406) 587-9177 ,ED
B000243,	 Max,,Baucus	 ,"113 3rd Street North Great Falls, Montana 59401",(406) 761-1574,(406) 452-1117 
B000243,	 Max,,Baucus	 ,"122 West Towne Street Glendive, Montana 59330",(406) 365-7002,(406) 365-7040 
B000287,Xavier,,Becerra,"1910 West Sunset Boulevard, Suite 810 Los Angeles, California 90026",(213) 483-1425,(213) 483-1429 ,ED
B001265,	 Mark,,Begich	 ,"510 L Street, Peterson Tower, Suite 750 Anchorage, Alaska 99501",(907) 271-5915,(907) 258-9305 
B001265,	 Mark,,Begich	 ,"101 12th Avenue, Room 328 Fairbanks, Alaska 99701",(907) 456-0261,(907) 451-7290 
B001265,	 Mark,,Begich	 ,"One Sealaska Plaza, Suite 308 Juneau, Alaska 99802",(907) 586-7700,(907) 586-7702 
B001265,	 Mark,,Begich	 ,"1900 First Avenue, Whitecliff Building, Suite 230 Ketchikan, Alaska 99901",(907) 225-3000,(907) 247-3000 
B001265,	 Mark,,Begich	 ,"805 Frontage Road, Suite 101 Kenai, Alaska 99611",(907) 283-4000,(907) 283-4401
B001271,Dan,,Benishek,"500 South Stephenson, Suite 500 Iron Mountain, Michigan 49801",(906) 828-1581,(906) 828-1583 
B001271,Dan,,Benishek,"200 Divison Street, Suite 178 Petoskey, Michigan 49770",(231) 348-0657,(231) 348-0653
B001267,Michael ,F,Bennet	 ,"2300 15th Street, Suite 450 Denver, Colorado 80202",(303) 455-7600,(303) 455-8851 
B001267,Michael ,F,Bennet	 ,"Durango Office: 835 East 2nd Avenue, Suite 206 Durango, Colorado 81301",(970) 259-1710,(970) 259-9789 
B001267,Michael ,F,Bennet	 ,"409 North Tejon Street, Suite 107 Colorado Springs, Colorado 80903",(719) 328-1100,(719) 328-1129 
B001267,Michael ,F,Bennet	 ,"1200 South College Avenue, Suite 211 Ft. Collins, Colorado 80524",(970) 224-2200,(970) 224-2205 
B001267,Michael ,F,Bennet	 ,"225 North 5th Street, Suite 511 Grand Junction, Colorado 81501",(970) 241-6631,(970) 241-8313 
B001267,Michael ,F,Bennet	 ,"129 West B Street Pueblo, Colorado 81003",(719) 542-7550,(719) 542-7555 
B001267,Michael ,F,Bennet	 ,"609 Main Street, Suite 110 Alamosa, Colorado 81101",(719) 587-0096,(719) 587-0098 
B001272,Rick,,Berg,"220 East Rosser Avenue, 328 Federal Building Bismarck, North Dakota 58501",(701) 224-0355,(701) 224-0431 
B001272,Rick,,Berg,"3003 32nd Avenue South, Suite 6 Fargo, North Dakota 58103",(701) 235-9760,(701) 235-9767 
B001231,Shelley,,Berkley,"2340 Paseo del Prado, Suite D106 Las Vegas, Nevada 89102",(702) 220-9823,(702) 220-9841 
B000410,Howard,L.,Berman,"14546 Hamlin Street, Suite 202 Van Nuys, California 91411",(818) 994-7200,(818) 994-1050 
B001232,Judy,,Biggert,"6262 South Route 83, Suite 305 Willowbrook, Illinois 60527",(630) 655-2052,(630) 655-1061 
B000461,Brian,P.,Bilbray,"380 Stevens Avenue, Suite 212 Solana Beach, California 92075", (858) 350-1150,(858) 350-0750
B001257,Gus,M.,Bilirakis,"35111 US Highway 19 North, Suite 301 Palm Harbor, Florida 34684",(727) 773-2871,(727) 784-6471 
B001257,Gus,M.,Bilirakis,"110 West Reynolds Street, Suite 101 Plant City, Florida 33563",(813) 752-9849,(813) 752-9017 
B000468,	 Jeff,,Bingaman	 ,"625 Silver Avenue, SW, Suite 130 Albuquerque, New Mexico 87102",(505) 346-6601,(505) 346-6780 
B000468,	 Jeff,,Bingaman	 ,"119 East Marcy, Suite 101 Santa Fe, New Mexico 87501",(505) 988-6647,(505) 992-8435 
B000468,	 Jeff,,Bingaman	 ,"200 East Fourth Street, Suite 300 Roswell, New Mexico 88201",(575) 622-7113,(575) 622-3538 
B000468,	 Jeff,,Bingaman	 ,"148 Loretto Towne Center, 505 South Main Las Cruces, New Mexico 88001",(575) 523-6561,(575) 523-6584 
B000468,	 Jeff,,Bingaman	 ,"118 Bridge Street, Suite 3, PO Box 1977 Las Vegas, New Mexico 87701",(505) 454-8824
B001250,Rob,,Bishop,"324 25th Street, Suite 1017 Ogden, Utah 84401",(801) 625-0107,(801) 625-0124
B001250,Rob,,Bishop,"6 North Main Street Brigham City, Utah 84302",(435) 734-2270,(435) 734-2290 
B001250,Rob,,Bishop,"125 South State Street, Suite 5420 Salt Lake City, Utah 84138",(801) 532-3244,(801) 532-3583 
B000490,Sanford,D.,Bishop,"235 W. Roosevelt Ave., Albany Towers, Ste. 114 Albany, Georgia 31701",(229) 439-8067,(229) 436-2099
B000490,Sanford,D.,Bishop,"137 East Jackson Street Thomasville, Georgia 31792",(229) 226-7789,(229) 226-7860 
B000490,Sanford,D.,Bishop,"18 Ninth Street, Suite 201 Columbus, Georgia 31901",(706) 320-9477,(706) 320-9479 
B001242,Timothy,H.,Bishop,"3680 Route 112, Suite C Coram, New York 11727",(631) 696-6500,(631) 696-4520 
B001242,Timothy,H.,Bishop,"137 Hampton Road Southampton, New York 11968",(631) 259-8450,(631) 259-8451
B001273,Diane,,Black,"305 West Main Street Murfeesboro, Tennessee 37130",(615) 896-1986,(615) 896-8218 
B001243,Marsha,,Blackburn,"7975 Stage Hill Boulevard, Suite 1 Memphis, Tennessee 38133",(901) 382-5811,(901) 373-8215 
B001243,Marsha,,Blackburn,"1850 Memorial Drive Clarksville, Tennessee 37043",(931) 503-0391,(931) 503-0393 
B001243,Marsha,,Blackburn,"198 East Main Street, Suite 1 Franklin, Tennessee 37064",(615) 591-5161,(615) 599-2916 
B000574,Earl,,Blumenauer,"729 NE Oregon Street, Suite 115 Portland, Oregon 97232",(503) 231-2300,(503) 230-5413 
B001277,	 Richard,,Blumenthal	 ,"30 Lewis Street, Suite 101 Hartford, Connecticut 06103",(860) 258-6940,(860) 258-6958 
B000575,	 Roy,,Blunt	 ,"911 Main St., Suite 2224 Kansas City, Missouri 64105",(816) 471-7141,(816) 471-7338 
B000575,	 Roy,,Blunt	 ,"2740 B East Sunshine Springfield, Missouri 65804",(417) 877-7814,(417) 823-9662 
B000575,	 Roy,,Blunt	 ,"7700 Bonhomme, #615 Clayton, Missouri 63105",(314) 725-4484,(314) 727-3548 
B000575,	 Roy,,Blunt	 ,"555 Independence Street, Suite 1500 Cape Girardeau, Missouri 63703",(573) 334-7044,(573) 334-7352 
B000575,	 Roy,,Blunt	 ,"308 East High Suite, #202 Jefferson City, Missouri 65101",(573) 634-2488,(573) 634-6005 
B000575,	 Roy,,Blunt	 ,"1001 Cherry Street, Suite 203 Columbia, Missouri 65201",(573) 442-8151,(573) 442-8162 
B000589,John,A.,Boehner,"7969 Cincinnati-Dayton Road, Suite B West Chester, Ohio 45069",(513) 779-5400,(513) 779-5315 
B000589,John,A.,Boehner,"12 South Plum Street Troy, Ohio 45373",(937) 339-1524,(937) 339-1878 
B001244,Jo,,Bonner,"11 North Water Street, Suite 15290 Mobile, Alabama 36602",(251) 690-2811,(251) 690-2815 
B001244,Jo,,Bonner,"1302 North McKenzie Street Foley, Alabama 36535",(251) 943-2073,(251) 943-2093 
B001228,Mary,,Bono Mack,"707 East Tahquitz Canyon Way, Suite 9 Palm Springs, California 92262",(760) 320-1076,(760) 320-0596 
B001228,Mary,,Bono Mack,"1600 East Florida Avenue, Suite 301 Hemet, California 92544",(951) 658-2312,(951) 652-2562 
B001236,	 John,,Boozman	 ,"213 West Monroe, Suite N Lowell, Arkansas 72745",(479) 725-0400
B001236,	 John,,Boozman	 ,"1120 Garrison Avenue Ft. Smith, Arkansas 72901",(479) 573-0189
B001245,Madeleine,Z.,Bordallo,"120 Father Duenas Avenue, Suite 107 Hagatna, Guam 96910",(671) 477-4272,(671) 477-2587 
B001254,Dan,,Boren,"431 West Broadway Muskogee, Oklahoma 74401",(918) 687-2533,(918) 686-0128
B001254,Dan,,Boren,"309 West 1st Street Claremore, Oklahoma 74017",(918) 341-9336,(918) 342-4806 
B001254,Dan,,Boren,"25 East Carl Albert Parkway, Suite B McAlester, Oklahoma 74501",(918) 423-5951,(918) 423-1940 
B001254,Dan,,Boren,"112 North 12th Avenue Durant, Oklahoma 74701",(580) 931-0333,(580) 920-0041 
B000652,Leonard,L.,Boswell,"300 East Locust, Suite 320 Des Moines, Iowa 50309",(515) 282-1909,(515) 282-1785
B001255,Charles,W.,Boustany,"800 Lafayette Street, Suite 1400 Lafayette, Louisiana 70501", (337) 235-6322,(337) 235-6072
B001255,Charles,W.,Boustany,"One Lakeshore Drive, Suite 1775 Lake Charles, Louisiana 70629",(337) 433-1747,(337) 433-0974 
B000711,	 Barbara,,Boxer	 ,"1700 Montgomery Street, Suite 240 San Francisco, California 94111",(415) 403-0100,(202) 224-0454 
B000711,	 Barbara,,Boxer	 ,"312 North Spring Street, Suite 1748 Los Angeles, California 90012",(213) 894-5000,(202) 224-0357 
B000711,	 Barbara,,Boxer	 ,"501 I Street, Suite 7-600 Sacramento, California 95814",(916) 448-2787,(202) 228-3865 
B000711,	 Barbara,,Boxer	 ,"600 B Street, Suite 2240 San Diego, California 92101",(619) 239-3884,(202) 228-3863 
B000711,	 Barbara,,Boxer	 ,"2500 Tulare Street, Suite 5290 Fresno, California 93721",(559) 497-5109,(559) 497-5111 
B000711,	 Barbara,,Boxer	 ,"3403 10th Street, Suite 704 Riverside, California 92501",(951) 684-4849,(202) 228-3868 
B000755,Kevin,,Brady,"200 River Pointe Drive, #304 Conroe, Texas 77304",(936) 441-5700,(936) 441-5757 
B000755,Kevin,,Brady,"420 Green Avenue Orange, Texas 77630",(409) 883-4197,(409) 883-6550 
B000755,Kevin,,Brady,"1202 Sam Houston Avenue, Suite 8 Huntsville, Texas 77340",(936) 439-9532,(936) 439-9546 
B001227,Robert,A.,Brady,"1907-09 South Broad Street Philadelphia, Pennsylvania 19148",(215) 389-4627,(215) 389-4636 
B001227,Robert,A.,Brady,"2637 East Clearfield Street Philadelphia, Pennsylvania 19134",(267) 519-2252,(267) 519-2262 
B001227,Robert,A.,Brady,"511-13 Welsh Street, 1st Floor Chester, Pennsylvania 19013",(610) 874-7094,(610) 874-7193 
B001227,Robert,A.,Brady,"2630 Memphis Street Philadelphia, Pennsylvania 19121",(215) 426-4616,(215) 426-7741 
B001259,Bruce,L.,Braley,"219 East 4th Street Waterloo, Iowa 50703",(319) 287-3233,(319) 287-5104 
B001259,Bruce,L.,Braley,"209 West 4th Street, Suite 104 Davenport, Iowa 52801",(563) 323-5988,(563) 323-5231 
B001259,Bruce,L.,Braley,"1050 Main Street Dubuque, Iowa 52001",(563) 557-7789
B001274,Mo,,Brooks,"302 Lee Street, Room 86 Decatur, Alabama 35601",(256) 355-9400,(256) 355-9406 
B001274,Mo,,Brooks,"2101 Clinton Avenue, Suite 301 Huntsville, Alabama 35803",(256) 551-0190,(256) 551-0194
B001274,Mo,,Brooks,"1011 George Wallace Boulevard Tuscumbia, Alabama 35674",(256) 381-3450,(256) 381-7659 
B001262,Paul,C.,Broun,"4246 Washington Road, Suite 6 Evans, Georgia 30809",(706) 447-3857,(706) 868-8756 
B001262,Paul,C.,Broun,"3706 Atlanta Highway, Suite 3B Athens, Georgia 30606",(706) 549-9588,(706) 549-9590 
B001262,Paul,C.,Broun,"194 Remsdale Street Toccoa, Georgia 30577",(706) 886-1008,(706) 886-1009 
B000911,Corrine,,Brown,"101 East Union Street, Suite 202 Jacksonville, Florida 32202",(904) 354-1652,(904) 354-2721 
B000911,Corrine,,Brown,"219 Lime Avenue Orlando, Florida 32805",(407) 872-0656,(407) 872-5763 
B001268,	 Scott ,,Brown	 ,"2400 John F. Kennedy Federal Building Boston, Massachusetts 02203",(617) 565-3170,(617) 723-7325 
B000944,	 Sherrod,,Brown	 ,"1301 East Ninth Street, Suite 1710 Cleveland, Ohio 44114",(216) 522-7272,(216) 522-2239
B000944,	 Sherrod,,Brown	 ,"425 Walnut Street, Suite 2310 Cincinnati, Ohio 45202",513) 684-1021,(513) 684-1029 
B000944,	 Sherrod,,Brown	 ,"200 North High Street, Room 614 Columbus, Ohio 43215",(614) 469-2083,(614) 469-2171 
B000944,	 Sherrod,,Brown	 ,"205 West 20th Street Suite M280 Lorain, Ohio 44052",(440) 242-4100,(440) 242-4108 
B001260,Vern,,Buchanan,"111 South Orange Avenue, Floor 2R, Suite 202W Sarasota, Florida 34236",(941) 951-6643,(941) 951-2972 
B001260,Vern,,Buchanan,"2424 Manatee Avenue West, Suite 104 Bradenton, Florida 34205",(941) 747-9081,(941) 748-1564 
B001275,Larry,,Bucshon,"101 NW Martin Luther King Jr. Boulevard, Room 124 Evansville, Indiana 47708",(812) 465-6484,(812) 422-4761 
B001275,Larry,,Bucshon,"901 Wabash Avenue, Suite 140 Terre Haute, Indiana 47807",(812) 232-0523,(812) 232-0526 
B001276,Ann,Marie,Buerkle,"1280 Titus Avenue Rochester, New York 14617",(585) 336-7291,(585) 336-7274
B001276,Ann,Marie,Buerkle,"100 South Clinton Street, Room 1340 Syracuse, New York 13261",(315) 423-5657,(315) 423-5669 
B001248,Michael,C.,Burgess,"1660 South Stemmons Freeway, Suite 230 Lewisville, Texas 75067",(972) 434-9700,(972) 434-9705 
B001248,Michael,C.,Burgess,"1100 Circle Drive, Suite 200 Ft. Worth, Texas 76119",(817) 531-8454,(817) 531-4570 
B001135,	 Richard,,Burr	 ,"201 North Front Street, Suite 809 Wilmington, North Carolina 28401",(910) 251-1058,(910) 251-7975 
B001135,	 Richard,,Burr	 ,"151 Patton Avenue, Suite 204 Asheville, North Carolina 28801",(828) 350-2437,(828) 350-2439 
B001135,	 Richard,,Burr	 ,"181 South Street, Room 222 Gastonia, North Carolina 28052",(704) 833-0854,(704) 833-1467 
B001135,	 Richard,,Burr	 ,"100 Coast Line Street, Room 210 Rocky Mount, North Carolina 27804",(252) 977-9522,(252) 977-7902 
B001149,Dan,,Burton,"8900 Keystone at the Crossing, #1050 Indianapolis, Indiana 46240-7646",(317) 848-0201,(317) 846-7306 
B001149,Dan,,Burton,"209 South Washington Street Marion, Indiana 46952-3803",(765) 662-6770,(765) 662-6775 
B001251,G.,K.,Butterfield,"216 North East Nash Street, Suite B Wilson, North Carolina 27893",(252) 237-9816,(252) 291-0356 
B001251,G.,K.,Butterfield,"309 West 3rd Street Weldon, North Carolina 27890",(252) 538-4123,(252) 823-0236 
C000059,Ken,,Calvert,"3400 Central Avenue, Suite 200 Riverside, California 92506",(951) 784-4300,(951) 784-5255 
C000059,Ken,,Calvert,"26111 Antonia Parkway, Suite 300 Las Flores, California 92688",(949) 888-8498,(949) 888-8524 
C000071,Dave,,Camp,"135 Ashman Street Midland, Michigan 48640",(989) 631-2552,(989) 631-6271 ,ED
C000071,Dave,,Camp,"121 East Front Street, Suite 202 Traverse City, Michigan 49684",(231) 929-4711,(231) 929-4776 ,ED
C001064,John,,Campbell,"610 Newport Center Drive, Suite 330 Newport Beach, California 92660",(949) 756-2244,(949) 251-9309 
C001082,Francisco,“Quico”,Canseco,"6363 DeZavala Road, Suite 105 San Antonio, Texas 78249",(210) 561-8855,(210) 877-5835 
C001082,Francisco,“Quico”,Canseco,"1313 SE Military Drive, #101 San Antonio, Texas 78214",(210) 922-7826,(210) 924-3560 
C001046,Eric,,Cantor,"4201 Dominion Boulevard, #110 Glen Allen, Virginia 23060",(804) 747-4073,(804) 747-5308 
C001046,Eric,,Cantor,"763 Madison Road, Suite 207 Culpeper, Virginia 22701",(540) 825-8960,(540) 825-8964 
C000127,	 Maria,,Cantwell	 ,"915 Second Avenue, Suite 3206 Seattle, Washington 98174",(206) 220-6400,(206) 220-6404 
C000127,	 Maria,,Cantwell	 ,"West 920 Riverside, Suite 697 Spokane, Washington 99201",(509) 353-2507,(509) 353-2547
C000127,	 Maria,,Cantwell	 ,"1313 Officer's Row Vancouver, Washington 98661",(360) 696-7838,(360) 696-7844 
C000127,	 Maria,,Cantwell	 ,"825 Jadwin Avenue, Suite 205 Richland, Washington 99352",(509) 946-8106,(509) 946-6937 
C000127,	 Maria,,Cantwell	 ,"2930 Wetmore Avenue, Suite 9B Everett, Washington 98201",(425) 303-0114,(425) 303-8351 
C000127,	 Maria,,Cantwell	 ,"950 Pacific Avenue, Suite 615 Tacoma, Washington 98402",(253) 572-2281,(253) 572-5879 
C001047,Shelley,Moore,Capito,"4815 MacCorkle Avenue, SE Charleston, West Virginia 25304",(304) 925-5964,(304) 926-8912 
C001047,Shelley,Moore,Capito,"300 Foxcroft Avenue, Suite 102 Martinsburg, West Virginia 25401",(304) 264-8810,(304) 264-8815 
C001036,Lois,,Capps,"301 East Carrillo Street, Suite A Santa Barbara, California 93101",(805) 730-1710,(805) 730-9153 
C001036,Lois,,Capps,"1411 Marsh Street, Suite 205 San Luis Obispo, California 93401",(805) 546-8348,(805) 546-8368 
C001036,Lois,,Capps,"2675 North Ventura Road, Suite 105 Port Hueneme, California 93041",(805) 985-6807,(805) 985-6875 
C001037,Michael,E.,Capuano,"110 1st Street Cambridge, Massachusetts 02141",(617) 621-6208,(617) 621-8628 
C001037,Michael,E.,Capuano,"Roxbury Community College, Campus Library Room 211 Roxbury, Massachusetts 02120",(617) 621-6208,(617) 621-8628 
C000141,	 Benjamin,,Cardin	,"100 South Charles Street, Tower I, Suite 1710 Baltimore, Maryland 21201",(410) 962-4436,(410) 962-4156 
C000141,	 Benjamin,,Cardin	,"10201 Martin Luther King Jr. Highway, Suite 210 Bowie, Maryland 20720",(301) 860-0414,(301) 860-0416 
C000141,	 Benjamin,,Cardin	,"129 East Main Street, Suite 115 Salisbury, Maryland 21803",(410) 546-4250,(410) 546-4252 
C000141,	 Benjamin,,Cardin	,"13 Canal Street, Room 305 Cumberland, Maryland 21502",(301) 777-2957,(301) 777-2959 
C001050,Dennis,A.,Cardoza,"2222 M Street, Suite 305 Merced, California 95340",(209) 383-4455,(209) 726-1065 
C001050,Dennis,A.,Cardoza,"1010 10th Street, Suite 5800 Modesto, California 95354",(209) 527-1914,(209) 527-5748 
C001050,Dennis,A.,Cardoza,"401 North San Joaquin Street, Suite 109 Stockton, California 95202", (209) 946-0361,(209) 946-0347 
C001060,Russ,,Carnahan,"8764 Manchester Road, Suite 203 St. Louis, Missouri 63144",(314) 962-1523,(314) 962-7169 
C001060,Russ,,Carnahan,"517 Bailey Road Crystal City, Missouri 63019",(636) 937-8039,(636) 937-7138 
C001083,John,C.,Carney,"201 North Walnut Street, Suite 107 Wilmington, Delaware 19801",(302) 428-1902,(302) 428-1950 
C000174, Thomas ,,Carper	 ,"301 North Walnut Street, Suite 102L-1 Wilmington, Delaware 19801",(302) 573-6291,(302) 573-6434 
C000174, Thomas ,,Carper	 ,"500 West Loockerman St., Suite 470 Dover, Delaware 19904",302) 674-3308,(302) 674-5464 
C000174, Thomas ,,Carper	 ,"12 The Circle Georgetown, Delaware 19947",(302) 856-7690,(302) 856-3001
C001072,André,,Carson,"300 East Fall Creek Parkway North Drive, #300 Indianapolis, Indiana 46205",(317) 283-6516,(317) 283-6567 
C001051,John,R.,Carter,"1717 North IH 35, One Financial Center, Suite 303 Round Rock, Texas 78664",(512) 246-1600,(512) 246-1620
C001051,John,R.,Carter,"6544B S. General Bruce Drive Temple, Texas 76502",(254) 933-1392
C001070," Robert 
",P,Casey	 ,"417 Lackawanna Avenue, Suite 303 Scranton, Pennsylvania 18503",(570) 941-0930,(570) 941-0937 
C001070," Robert 
",P,Casey	 ,"817 East Bishop Street, Suite C Bellefonte, Pennsylvania 16823",(814) 357-0314,(814) 357-0318 
